,기간,자치구,정상,이상
0,2013,종로구,70.5,29.5
1,2013,중구,68.6,31.4
2,2013,용산구,70.7,29.4
3,2013,성동구,70.3,29.7
4,2013,광진구,73.6,26.4
5,2013,동대문구,69.6,30.400000000000002
6,2013,중랑구,71,29.0
7,2013,성북구,69.9,30.1
8,2013,강북구,70,30.0
9,2013,도봉구,68.3,31.799999999999997
10,2013,노원구,69.6,30.4
11,2013,은평구,72.6,27.3
12,2013,서대문구,68.2,31.8
13,2013,마포구,71,29.0
14,2013,양천구,69.9,30.2
15,2013,강서구,73.4,26.6
16,2013,구로구,67.6,32.5
17,2013,금천구,67.1,32.800000000000004
18,2013,영등포구,74.9,25.1
19,2013,동작구,69.2,30.8
20,2013,관악구,68.2,31.8
21,2013,서초구,73,27
22,2013,강남구,73.3,26.7
23,2013,송파구,75.1,24.9
24,2013,강동구,72.3,27.7
