,기간,자치구,정상,이상
0,2011,종로구,73.2,26.9
1,2011,중구,73.6,26.3
2,2011,용산구,70.2,29.8
3,2011,성동구,72.2,27.8
4,2011,광진구,73.3,26.8
5,2011,동대문구,68.6,31.4
6,2011,중랑구,68.1,31.8
7,2011,성북구,69.9,30.1
8,2011,강북구,67.4,32.6
9,2011,도봉구,69.1,31.0
10,2011,노원구,73.2,26.8
11,2011,은평구,71.3,28.7
12,2011,서대문구,68.1,31.900000000000002
13,2011,마포구,74.2,25.9
14,2011,양천구,72.4,27.6
15,2011,강서구,71.3,28.7
16,2011,구로구,69.2,30.8
17,2011,금천구,73.2,26.900000000000002
18,2011,영등포구,69.1,30.900000000000002
19,2011,동작구,72.3,27.7
20,2011,관악구,68.1,31.900000000000002
21,2011,서초구,72.8,27.2
22,2011,강남구,76.1,23.8
23,2011,송파구,71.5,28.6
24,2011,강동구,70.4,29.6
