,기간,자치구,정상,이상
0,2015,종로구,68.5,31.5
1,2015,중구,71.4,28.6
2,2015,용산구,69.7,30.299999999999997
3,2015,성동구,70.6,29.400000000000002
4,2015,광진구,70.2,29.8
5,2015,동대문구,69.3,30.7
6,2015,중랑구,69.5,30.5
7,2015,성북구,69.4,30.599999999999998
8,2015,강북구,65.8,34.1
9,2015,도봉구,69.6,30.4
10,2015,노원구,69,31.0
11,2015,은평구,71.1,28.9
12,2015,서대문구,70.8,29.2
13,2015,마포구,69,31.1
14,2015,양천구,70.8,29.200000000000003
15,2015,강서구,68.2,31.700000000000003
16,2015,구로구,70.1,29.900000000000002
17,2015,금천구,65.5,34.5
18,2015,영등포구,68.2,31.8
19,2015,동작구,69.4,30.6
20,2015,관악구,69.2,30.9
21,2015,서초구,70.3,29.7
22,2015,강남구,69.7,30.3
23,2015,송파구,69.9,30.1
24,2015,강동구,70.3,29.7
