,기간,자치구,정상,이상
0,2012,종로구,72,28.1
1,2012,중구,73,27.0
2,2012,용산구,67.5,32.6
3,2012,성동구,71.6,28.4
4,2012,광진구,72.2,27.8
5,2012,동대문구,68.4,31.599999999999998
6,2012,중랑구,69.8,30.2
7,2012,성북구,68.1,31.900000000000002
8,2012,강북구,69.5,30.5
9,2012,도봉구,69.4,30.6
10,2012,노원구,69.6,30.4
11,2012,은평구,72.6,27.4
12,2012,서대문구,67.8,32.2
13,2012,마포구,71.3,28.700000000000003
14,2012,양천구,70.9,29.1
15,2012,강서구,69.1,30.9
16,2012,구로구,72.4,27.6
17,2012,금천구,69.2,30.799999999999997
18,2012,영등포구,70.9,29.1
19,2012,동작구,70.7,29.299999999999997
20,2012,관악구,69.7,30.299999999999997
21,2012,서초구,72.1,27.9
22,2012,강남구,71.4,28.6
23,2012,송파구,69.8,30.200000000000003
24,2012,강동구,71.6,28.4
