,기간,자치구,정상,이상
0,2014,종로구,68.7,31.3
1,2014,중구,67.8,32.2
2,2014,용산구,68.1,31.9
3,2014,성동구,69.9,30.1
4,2014,광진구,72.8,27.200000000000003
5,2014,동대문구,66.8,33.2
6,2014,중랑구,65.9,34.1
7,2014,성북구,68.8,31.2
8,2014,강북구,70.3,29.6
9,2014,도봉구,70.2,29.799999999999997
10,2014,노원구,68.4,31.6
11,2014,은평구,71.1,28.9
12,2014,서대문구,71,29.1
13,2014,마포구,70.5,29.6
14,2014,양천구,71.2,28.8
15,2014,강서구,70,30.0
16,2014,구로구,68.3,31.700000000000003
17,2014,금천구,68.9,31.099999999999998
18,2014,영등포구,73.4,26.599999999999998
19,2014,동작구,72.3,27.6
20,2014,관악구,67.5,32.5
21,2014,서초구,71.2,28.7
22,2014,강남구,73.1,26.9
23,2014,송파구,71.7,28.3
24,2014,강동구,69,31.0
